Location,year,agg_limit,GU_year,GR_year
Tri County Area,1992,100%,313%,100%
Miami,1992,100%,296%,100%
Tri County Area,1945,100%,112%,100%
Tri County Area,1950,100%,108%,100%
Miami,1945,100%,102%,100%
Tri County Area,1947,100%,98%,98%
Tri County Area,2005,100%,67%,67%
Charleston,1959,100%,67%,67%
Miami,1950,100%,42%,42%
Tri County Area,1949,100%,41%,41%
Miami,2005,100%,39%,39%
Tri County Area,1964,100%,34%,34%
Houston,1983,100%,33%,33%
Houston,1854,100%,32%,32%
Miami,1947,100%,30%,30%
Tri County Area,1865,100%,26%,26%
Miami,1865,100%,25%,25%
Tampa,2024,100%,25%,25%
Charleston,1989,100%,22%,22%
Jacksonville,1964,100%,21%,21%
Miami,1964,100%,20%,20%
Tri County Area,1948,100%,20%,20%
Jacksonville,1854,100%,19%,19%
Tampa,1878,100%,19%,19%
Tampa,1950,100%,19%,19%
New Orleans,1855,100%,12%,12%
New Orleans,1856,100%,12%,12%
New Orleans,1860,100%,12%,12%
New Orleans,1947,100%,12%,12%
New Orleans,1965,100%,12%,12%
New Orleans,1969,100%,12%,12%
New Orleans,2005,100%,12%,12%
New Orleans,2021,100%,12%,12%
Miami,1949,100%,11%,11%
Jacksonville,1853,100%,11%,11%
New York,2012,100%,11%,11%
Miami,1948,100%,10%,10%
Tri County Area,1871,100%,10%,10%
Houston,1949,100%,9%,9%
Houston,2008,100%,8%,8%
Tampa,1968,100%,8%,8%
Tampa,2022,100%,8%,8%
New Orleans,2020,100%,7%,7%
Miami,1965,100%,5%,5%
Tri County Area,1965,100%,5%,5%
Tampa,1966,100%,3%,3%
Charleston,1958,100%,2%,2%
Tri County Area,2004,100%,2%,2%
Tri County Area,1876,100%,1%,1%
